"volume","page","mission_number","type","church","city","state","start_date","end_date","confessions_total","converts","under_instruction","diocese","confessions_adults","confessions_children","confessions_men","confessions_women","order","notes","converts_adult","converts_children","temperance_pledges","confirmed","location","year","converts_total","geo.lon","geo.lat"
1,281,36,"mission","","Pittston","PA","4/14/1861","4/22/1861",1980,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Pittston PA",1861,3,-75.7893604,41.3259134
1,282,37,"mission","","Holyoke","MA","4/28/1861","5/9/1861",1850,5,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Holyoke MA",1861,5,-72.6162009,42.2042586
1,284,38,"mission","St. Mary's Church","Elizabeth","NJ","10/6/1861","10/14/1861",950,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Elizabeth NJ",1861,1,-74.2107006,40.6639916
1,285,39,"mission","St. Michael's Church","New York","NY","11/17/1861","11/28/1861",4000,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1861,0,-74.0059731,40.7143528
1,287,40,"mission","","Newport","NY","12/29/1861","1/5/1862",370,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Newport NY",1861,1,-75.0143244,43.1859025
1,291,41,"mission","","Dunmore","PA","1/19/1862","1/26/1862",700,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Dunmore PA",1862,0,-75.6324112,41.4198027
1,291,42,"mission","St. Philomena's Church","Rawley","PA","2/2/1862","2/10/1862",1150,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Rawley PA",1862,1,-80.06532,40.3647715
1,292,43,"mission","St. John's Church","Orange","NJ","2/2/1862","2/9/1862",1000,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Orange NJ",1862,2,-74.2326478,40.7706187
1,293,44,"mission","Church of the Immaculate Conception","New York","NY","3/2/1862","3/16/1862",6800,1,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1862,1,-74.0059731,40.7143528
1,295,45,"mission","St. Stephen's Church","New York","NY","3/30/1862","4/6/1862",2400,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1862,0,-74.0059731,40.7143528
1,295,46,"mission","","Scranton ","PA","5/18/1862","5/29/1862",2500,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Scranton  PA",1862,0,-75.6624122,41.408969
1,296,47,"mission","St. Peter's Church","Cambridge","MA","4/27/1862","5/7/1862",2500,2,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Cambridge MA",1862,2,-71.1097335,42.3736158
2,1,NA,"mission","St. John's Church","Stamford","CT","9/28/1862","10/5/1862",900,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Stamford CT",1862,2,-73.5387341,41.0534302
2,2,NA,"mission","Church of the Immaculate Conception","Jersey City","NJ","10/12/1862","10/23/1862",2875,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Jersey City NJ",1862,0,-74.0776417,40.7281575
2,3,NA,"mission","St. Mary's Cathedral","Halifax","NS","11/30/1862","12/8/1862",5636,4,0,"Halifax",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Halifax NS",1862,4,-63.5753196,44.6488625
2,4,NA,"mission","Nativity Church","New York","NY","1/4/1863","1/16/1863",3500,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1863,0,-74.0059731,40.7143528
2,5,NA,"mission","Church of St. Rose of Lima","Carbondale","PA","1/25/1863","2/3/1863",2100,7,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Carbondale PA",1863,7,-75.5018508,41.5736935
2,6,NA,"mission","Assumption Church","Philadelphia","PA","2/15/1863","2/26/1863",1500,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Philadelphia PA",1863,0,-75.163789,39.952335
2,7,NA,"mission","Cathedral of the Holy Cross","Boston","MA","3/8/1863","3/17/1863",3000,0,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Boston MA",1863,0,-71.0597732,42.3584308
2,8,NA,"mission","Church of the Most Holy Name of Jesus","Chicopee","MA","4/12/1863","4/20/1863",2600,3,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Chicopee MA",1863,3,-72.6078672,42.1487043
2,9,NA,"mission","St. Joseph's Church","Pittsfield","MA","5/3/1863","5/12/1863",2000,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Pittsfield MA",1863,1,-73.2453824,42.4500845
2,10,NA,"mission","Church of Our Lady of Mercy","Port Chester","NY","9/13/1863","9/21/1863",710,1,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Port Chester NY",1863,1,-73.6656834,41.0017643
2,11,NA,"mission","Cathedral of the Holy Name","Chicago","IL","10/4/1863","10/14/1863",2600,8,0,"Chicago",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Chicago IL",1863,8,-87.6297982,41.8781136
2,12,NA,"mission","St. Patrick's Cathedral","St. Louis","MO","10/25/1863","11/4/1863",2500,3,0,"St. Louis",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. Louis MO",1863,3,-90.1994042,38.6270025
2,13,NA,"mission","St. John's Church","St. Louis","MO","11/15/1863","11/24/1863",1300,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. Louis MO",1863,0,-90.1994042,38.6270025
2,14,NA,"mission","St. Theresa's ","New York","NY","1/3/1864","1/15/1864",4500,6,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1864,6,-74.0059731,40.7143528
2,15,NA,"mission","St. John's Church","Honesdale","PA","1/24/1864","2/1/1864",1400,1,0,"Philadelphia",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Honesdale PA",1864,1,-75.2587871,41.5767552
2,17,NA,"mission","Church of the Immaculate Conception","Stoughton","MA","2/14/1864","2/21/1864",567,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Stoughton MA",1864,0,-71.1027778,42.125
2,18,NA,"mission","Church of St. John the Baptist","Trenton","NJ","2/28/1864","3/10/1864",2800,10,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Trenton NJ",1864,10,-74.7429384,40.2170534
2,21,NA,"mission","Church of St. Patrick","North Bridgewater","MA","4/3/1864","4/10/1864",1100,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"North Bridgewater MA",1864,1,-70.9750541,41.9903519
2,23,NA,"mission","","Webster","MA","4/17/1864","4/24/1864",700,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Webster MA",1864,0,-71.8800628,42.050091
2,24,NA,"mission","Church of St. William","Ware","MA","5/1/1864","5/8/1864",1080,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Ware MA",1864,2,-72.2398566,42.2598457
2,25,NA,"mission","Church of Immaculate Conception","Port Jervis","NY","9/11/1864","9/21/1864",750,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Port Jervis NY",1864,1,-74.692663,41.3750937
2,26,NA,"mission","Church of St. Peter","Southbridge","MA","10/2/1864","10/9/1864",730,4,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Southbridge MA",1864,4,-72.0333905,42.0751065
2,27,NA,"mission","Church of St. Mary","Lancaster","OH","10/23/1864","10/31/1864",800,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Lancaster OH",1864,3,-82.5993294,39.7136754
2,31,NA,"mission","Church of the Assumption","Brookline","MA","11/6/1864","11/14/1864",1200,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Brookline MA",1864,1,-71.1211635,42.3317642
2,31,NA,"mission","","Brighton","MA","11/17/1864","11/17/1864",700,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Brighton MA",1864,3,-71.1626756,42.3463503
2,32,NA,"mission","Church of the Immaculate Conception","Salem","MA","12/4/1864","12/13/1864",2100,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Salem MA",1864,3,-70.8967155,42.51954
2,33,NA,"mission","Church of St. James","Salem","MA","1/1/1865","1/11/1865",2551,11,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Salem MA",1865,11,-70.8967155,42.51954
2,34,NA,"mission","Church of St. Thomas Aquinas","Archibald","PA","1/29/1865","2/5/1865",1200,0,0,"Philadelphia",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Archibald PA",1865,0,-75.5368521,41.4948038
2,35,NA,"mission","Church of Immaculate Conception","Birmingham","CT","2/12/1865","2/20/1865",1600,1,0,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Birmingham CT",1865,1,-83.2113192,42.5467012
2,36,NA,"mission","Church of St. Gregory Thaumaturgus","Milton","MA","3/12/1865","3/19/1865",1200,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Milton MA",1865,1,-71.0661653,42.2495321
2,37,NA,"mission","Church of St. Mary","Clifton, Staten Island","NY","3/26/1865","4/4/1865",1600,13,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Clifton, Staten Island NY",1865,13,-74.0784785,40.6189726
2,38,NA,"mission","Church of St. John","Newark","NJ","5/7/1865","5/14/1865",1400,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Newark NJ",1865,0,-74.1723667,40.735657
2,39,NA,"mission","Church of St. Ann","Manchester","NH","9/24/1865","10/5/1865",2600,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Manchester NH",1865,0,-71.4547891,42.9956397
2,41,NA,"mission","Church of St. Mary","Cold Spring","NY","10/29/1865","11/5/1865",721,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Cold Spring NY",1865,0,-73.954583,41.4200937
2,51,NA,"mission","Church of the Immaculate Conception","Nashua","NH","4/30/1871","5/7/1871",1261,0,0,"Portland",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Nashua NH",1871,0,-71.467566,42.7653662
2,53,NA,"mission","Church of St. Patrick","North Bridgewater","MA","10/29/1871","11/5/1871",1400,0,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"North Bridgewater MA",1871,0,-70.9750541,41.9903519
2,54,NA,"mission","Church of St. Gregory Thaumaturgus","Milton","MA","2/25/1872","3/3/1872",2000,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Milton MA",1872,0,-71.0661653,42.2495321
2,55,NA,"mission","Church of St. Paul","Wilmington","DE","4/28/1872","5/5/1872",1300,0,0,"Wilmington",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Wilmington DE",1872,0,-75.5466667,39.7458333
2,56,NA,"mission","St. Peter's Cathedral","Wilmington","DE","10/29/1872","11/5/1872",1800,0,0,"Wilmington",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Wilmington DE",1872,0,-75.5466667,39.7458333
2,57,NA,"mission","Church of the Sacred Heart","Philadelphia","PA","11/10/1872","11/18/1872",1500,9,0,"Philadelphia",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Philadelphia PA",1872,9,-75.163789,39.952335
2,58,NA,"mission","Church of Ss. Peter and Paul","Sandusky","OH","11/24/1872","12/3/1872",1500,2,0,"Cleveland",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Sandusky OH",1872,2,-82.7079605,41.4489396
2,59,NA,"mission","Church of St. John the Evangelist","Birmingham","PA","12/8/1872","12/18/1872",2150,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Birmingham PA",1872,0,-78.1952892,40.6478421
2,60,NA,"mission","Church of St. Mary","Randolph","MA","12/29/1872","1/5/1873",1600,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Randolph MA",1872,2,-71.042551,42.1619739
2,61,NA,"mission","St. Theresa's Church","New York","NY","1/12/1873","1/26/1873",6600,10,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1873,10,-74.0059731,40.7143528
2,63,NA,"mission","Church of St. Mary","Albany","NY","2/2/1873","2/12/1873",2780,2,0,"Albany",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Albany NY",1873,2,-73.7562317,42.6525793
2,64,NA,"mission","St. Peter's Cathedral","Cincinnati","OH","2/23/1873","3/9/1873",3000,2,0,"Cincinnati",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Cincinnati OH",1873,2,-84.5120196,39.1031182
2,65,NA,"mission","Church of St. Paul the Apostle","New York","NY","3/16/1873","3/30/1873",5500,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1873,0,-74.0059731,40.7143528
2,68,NA,"mission","Cathedral of St. Joseph","Columbus","OH","4/20/1873","4/29/1873",2100,0,0,"Columbus",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Columbus OH",1873,0,-82.9987942,39.9611755
2,69,NA,"mission","Church of the Sacred Heart","Sharon","PA","5/4/1873","5/11/1873",700,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Sharon PA",1873,1,-80.4934035,41.2331116
2,70,NA,"mission","Church of the Holy Name","New York","NY","5/18/1873","5/25/1873",1030,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1873,0,-74.0059731,40.7143528
2,72,NA,"mission","St. Elizabeth's Church","Washington Heights","NY","9/21/1873","9/28/1873",1007,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Washington Heights NY",1873,0,-73.9389213,40.8401451
2,73,NA,"mission","St. Mary's Church","Fall River","MA","10/5/1873","10/19/1873",5300,8,0,"Providence",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Fall River MA",1873,8,-71.1550451,41.7014912
2,76,NA,"mission","St. Patrick's Church","New London","CT","10/26/1873","11/4/1873",1400,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New London CT",1873,2,-72.0995209,41.3556539
2,78,NA,"mission","St. Mary's Church","Providence","RI","11/2/1873","11/11/1873",4000,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Providence RI",1873,0,-71.4128343,41.8239891
2,79,NA,"mission","Church of St. John the Baptist","Canton","OH","11/16/1873","11/25/1873",700,22,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Canton OH",1873,22,-81.378447,40.7989473
2,80,NA,"mission","St. Joseph's Cathedral","Buffalo","NY","11/30/1873","12/14/1873",4500,7,0,"Buffalo",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Buffalo NY",1873,7,-78.8783689,42.8864468
2,81,NA,"mission","St. Malachy's Church","Arlington","MA","1/4/1874","1/12/1874",1170,4,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Arlington MA",1874,4,-71.1564729,42.4153925
2,82,NA,"mission","Church of St. Bridget","Lexington","MA","1/4/1874","1/13/1874",400,4,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Lexington MA",1874,4,-71.2289641,42.4430372
2,83,NA,"mission","Church of the Assumption","East Boston","MA","1/16/1874","2/1/1874",2350,18,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"East Boston MA",1874,18,-71.0388601,42.3702137
2,84,NA,"mission","Church of St. Michael","Brattleboro","VT","2/8/1874","2/15/1874",570,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Brattleboro VT",1874,2,-72.5578619,42.8509348
2,87,NA,"mission","Church of St. Joseph","Kingston","NY","2/22/1874","3/2/1874",1400,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Kingston NY",1874,1,-73.9973608,41.9270367
2,88,NA,"mission","Church of the Sacred Heart","Central Falls","NY","3/8/1874","3/16/1874",1450,12,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Central Falls NY",1874,12,-73.8320824,44.0778319
2,90,NA,"mission","St. Joseph's Church","Circleville","OH","2/8/1874","2/17/1874",400,8,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Circleville OH",1874,8,-82.9460133,39.600618
2,92,NA,"mission","St. Joseph's Church","Fond du Lac","WI","2/22/1874","3/4/1874",1650,2,0,"Milwaukee",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Fond du Lac WI",1874,2,-88.4470508,43.7730448
2,93,NA,"mission","Church of the Holy Cross","Ovid","NY","3/22/1874","3/29/1874",700,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Ovid NY",1874,3,-76.8230111,42.6764593
2,94,NA,"mission","Church of the Nativity","New York","NY","4/12/1874","4/28/1874",4280,6,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1874,6,-74.0059731,40.7143528
2,95,NA,"mission","Church of St. Rose of Lima","Suffern","NY","5/3/1874","5/8/1874",150,2,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Suffern NY",1874,2,-74.1495889,41.1148179
2,95,NA,"mission","Church of St. Mary","Greenwood","NY","5/10/1874","5/17/1874",260,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Greenwood NY",1874,0,-77.6483236,42.13507
2,98,NA,"mission","St. Jarlath's Church","Chicago","IL","9/27/1874","10/7/1874",800,1,0,"Chicago",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Chicago IL",1874,1,-87.6297982,41.8781136
2,99,NA,"mission","Church of St. Pius","Chicago","IL","10/11/1874","10/25/1874",1500,12,0,"Chicago",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Chicago IL",1874,12,-87.6297982,41.8781136
2,100,NA,"mission","Church of the Annunciation","Manhattanville","NY","10/4/1874","10/14/1874",2600,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Manhattanville NY",1874,6,-73.9558333,40.8169443
2,102,NA,"mission","St. John's Church","Trenton","NJ","10/25/1874","11/5/1874",2700,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Trenton NJ",1874,6,-74.7429384,40.2170534
2,103,NA,"mission","St. Mary's Church","New Haven","CT","11/8/1874","11/19/1874",2600,8,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New Haven CT",1874,8,-72.9278835,41.308274
2,104,NA,"mission","St. Mary's Church","Jersey City","NJ","12/6/1874","12/20/1874",4800,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Jersey City NJ",1874,6,-74.0776417,40.7281575
2,105,NA,"mission","St. Mary's Cathedral","Ogdensburg","NY","1/3/1875","1/14/1875",1850,6,0,"Ogdensburg",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Ogdensburg NY",1875,6,-75.4863364,44.6942291
2,108,NA,"mission","St. Mary's Cathedral","San Francisco","CA","2/14/1875","2/28/1875",2800,6,0,"San Francisco",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"San Francisco CA",1875,6,-122.4194155,37.7749295
2,109,NA,"mission","St. Francis Church","San Francisco","CA","3/7/1875","3/16/1875",1350,7,0,"San Francisco",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"San Francisco CA",1875,7,-122.4194155,37.7749295
2,111,NA,"mission","St. Mary's Church","Oakland","CA","3/7/1875","3/16/1875",1700,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Oakland CA",1875,1,-122.2711137,37.8043637
2,112,NA,"mission","St. Patrick's Church","San Francisco","CA","3/21/1875","4/5/1875",9000,13,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"San Francisco CA",1875,13,-122.4194155,37.7749295
2,114,NA,"mission","Church of St. Rose of Lima","Sacramento","CA","4/4/1875","4/14/1875",1600,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Sacramento CA",1875,2,-121.4943996,38.5815719
2,115,NA,"mission","Church of San Rafael","San Rafael","CA","3/21/1875","3/28/1875",360,9,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"San Rafael CA",1875,9,-122.5310874,37.9735346
2,116,NA,"mission","St. Peter's Church","San Francisco","CA","4/11/1875","4/21/1875",1600,5,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"San Francisco CA",1875,5,-122.4194155,37.7749295
2,117,NA,"mission","St. Joseph's Church","San Jose","CA","4/18/1875","4/28/1875",1100,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"San Jose CA",1875,0,-121.8949555,37.3393857
2,119,NA,"mission","Church of the Holy Cross","Santa Cruz","CA","4/25/1875","5/2/1875",650,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Santa Cruz CA",1875,2,-122.0307963,36.9741171
2,120,NA,"mission","St. Joseph's Cathedral","Marysville","CA","5/16/1875","5/24/1875",550,5,0,"Sacramento",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Marysville CA",1875,5,-121.5913547,39.1457253
2,121,NA,"mission","Church of the Immaculate Conception","Smartsville","CA","5/16/1875","5/24/1875",350,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Smartsville CA",1875,2,-121.2988335,39.2077473
2,122,NA,"mission","Church of the Immaculate Conception","Virginia City","NV","5/30/1875","6/13/1875",1200,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Virginia City NV",1875,3,-119.6499793,39.3095135
2,123,NA,"mission","St. Patrick's Church","Gold Hill","NV","5/30/1875","6/6/1875",660,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Gold Hill NV",1875,1,-119.6574011,39.2904678
2,124,NA,"mission","Church of Mary Magdalen","Salt Lake City","UT","6/20/1875","6/27/1875",75,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Salt Lake City UT",1875,1,-111.8910474,40.7607793
2,125,NA,"mission","","Ophir City","UT","6/20/1875","6/25/1875",37,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Ophir City UT",1875,1,-112.2585566,40.36939
2,126,NA,"mission","Church of St. Michael","Stillwater","MN","9/19/1875","9/30/1875",1200,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Stillwater MN",1875,1,-92.8088443,45.056004
2,127,NA,"mission","Cathedral of St. Paul","St. Paul","MN","10/3/1875","10/17/1875",2100,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. Paul MN",1875,6,-93.0899578,44.9537029
2,130,NA,"mission","St. Mary's Church","St. Paul","MN","10/24/1875","11/3/1875",1200,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. Paul MN",1875,6,-93.0899578,44.9537029
2,132,NA,"mission","Church of the Immaculate Conception","Minneapolis","MN","11/7/1875","11/21/1875",2200,12,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Minneapolis MN",1875,12,-93.26667,44.983334
2,133,NA,"mission","Church of the Immaculate Conception","Faribault","MN","11/28/1875","12/8/1875",1300,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Faribault MN",1875,6,-93.268827,44.2949636
2,134,NA,"mission","Church of St. Thomas","Winona","MN","12/12/1875","12/19/1875",800,10,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Winona MN",1875,10,-91.6404389,44.0478889
2,135,NA,"mission","St. John's Church","Baltimore","MD","1/9/1876","1/23/1876",4200,29,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Baltimore MD",1876,29,-76.6121893,39.2903848
2,136,NA,"mission","Church of St. Michael","Penn Yan","NY","1/30/1876","2/9/1876",800,2,0,"Rochester",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Penn Yan NY",1876,2,-77.0538577,42.6609026
2,137,NA,"mission","Church of St. Rose of Lima","Chelsea","MA","2/27/1876","3/12/1876",3200,14,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Chelsea MA",1876,14,-71.0328284,42.3917638
2,138,NA,"mission","Church of St. Patrick","Boston","MA","3/19/1876","4/9/1876",4000,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Boston MA",1876,3,-71.0597732,42.3584308
2,139,NA,"mission","Church of St. Michael","Jersey City","NJ","4/23/1876","5/7/1876",5000,7,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Jersey City NJ",1876,7,-74.0776417,40.7281575
2,141,NA,"mission","Cathedral of St. Paul","St. Paul","MN","9/10/1876","9/14/1876",1500,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. Paul MN",1876,0,-93.0899578,44.9537029
2,142,NA,"mission","St. Augustine's Church","Austin","MN","9/17/1876","9/27/1876",790,17,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Austin MN",1876,17,-92.9746367,43.6666296
2,143,NA,"mission","St. Lawrence's Church","Fountain","MN","10/1/1876","10/6/1876",440,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Fountain MN",1876,3,-92.1362717,43.7399639
2,144,NA,"mission","St. Patrick's Church","Lanesboro","MN","10/8/1876","10/18/1876",620,13,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Lanesboro MN",1876,13,-91.9768224,43.7207974
2,145,NA,"mission","St. Patrick's Church","Caledonia","MN","10/27/1876","10/30/1876",960,6,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Caledonia MN",1876,6,-91.4968076,43.6346913
2,146,NA,"mission","Church of St. Patrick","Brownsville","MN","11/4/1876","11/9/1876",520,8,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Brownsville MN",1876,8,-91.2798153,43.6940552
2,147,NA,"mission","St. Thomas's Church","Rochester","MN","11/19/1876","11/28/1876",1537,8,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Rochester MN",1876,8,-92.46295,44.0234
2,148,NA,"mission","St. Bridget's Church","Rochester","MN","11/29/1876","12/3/1876",626,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Rochester MN",1876,2,-92.46295,44.0234
2,149,NA,"mission","St. Mary's Church","Waverly","MN","9/17/1876","9/24/1876",460,11,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Waverly MN",1876,11,-93.9663889,45.0666667
2,150,NA,"mission","St. Gerhard's Church","Forest City","MN","10/1/1876","10/10/1876",700,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Forest City MN",1876,3,-94.4663799,45.2063519
2,151,NA,"mission","St. Mary's Church","Shakopee","MN","10/15/1876","10/22/1876",415,3,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Shakopee MN",1876,3,-93.5272861,44.7973962
2,152,NA,"mission","Church of the Sacred Heart","Belle Plaine","MN","10/29/1876","11/7/1876",1030,4,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Belle Plaine MN",1876,4,-93.7684042,44.6230409
