"year","denomination","membership","received_exam","received_certificate","received_unspecified","baptisms_adults","baptisms_infants","baptisms_unspecified","sunday_school_members","churches","churches_organized","churches_received_other_denominations","churches_dismissed_other_denominations","churches_dissolved","ministers_received_other_denominations","ministers_dismissed_other_denominations","ministers_deceased","ministers","candidates","licentiates","licensures","ordinations","minister_installations","minister_dissolutions","elders","deacons","members_dismissed_dropped","members_deceased","members_dismissed_by_certificate","members_reserve_suspended_roll","members_absentees","members_restored","members_resident","members_nonresident","manses","every_member_plan_churches"
1915,"Reunited Presbyterians",1513240,116064,63552,NA,43740,38905,NA,1375875,9996,133,5,4,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42251,15545,NA,16695,52405,49756,NA,8433,NA,NA,4107,NA
1916,"Reunited Presbyterians",1560009,104526,60189,NA,39531,37839,NA,1412387,9953,121,4,3,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43039,16370,NA,18761,51886,55524,NA,8320,NA,NA,4424,NA
1917,"Reunited Presbyterians",1604045,96792,62209,NA,36184,38115,NA,1455466,9968,94,2,9,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43758,16963,NA,18685,54075,55809,NA,8312,NA,NA,4518,NA
1918,"Reunited Presbyterians",1631748,88521,64493,NA,32834,37465,NA,1386928,9928,85,7,8,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43648,16852,NA,18933,53466,54397,NA,7645,NA,NA,4579,NA
1919,"Reunited Presbyterians",1603033,62014,51316,NA,23758,34249,NA,1319416,9805,50,16,5,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43415,16925,NA,25396,46578,69824,NA,7141,NA,NA,4648,NA
1920,"Reunited Presbyterians",1637105,99722,73779,NA,35515,38819,NA,1351260,9769,74,3,4,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44025,17178,NA,19973,60846,61649,NA,9388,NA,NA,4650,NA
1921,"Reunited Presbyterians",1722361,122231,84858,NA,43015,46296,NA,1433292,9842,80,6,7,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45581,17714,NA,19058,63386,61157,NA,12345,NA,NA,4550,NA
1922,"Reunited Presbyterians",1756918,93259,65324,NA,35327,42311,NA,1502616,9710,109,10,13,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46541,18362,NA,19919,54179,55050,NA,11195,NA,NA,NA,NA
1923,"Reunited Presbyterians",1803593,106587,70359,NA,37646,45038,NA,1499890,9706,82,9,6,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47703,19089,NA,21156,57388,58708,NA,10874,NA,NA,NA,NA
1924,"Reunited Presbyterians",1830928,87632,66795,NA,32489,40996,NA,1548047,9678,66,4,1,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46340,19632,NA,21213,53374,61248,NA,11109,1696924,134004,NA,6081
1925,"Reunited Presbyterians",1873859,107691,74493,NA,37318,45537,NA,1596259,9649,72,3,2,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47986,19324,NA,21707,59437,60680,NA,12249,1737657,136202,NA,6352
1926,"Reunited Presbyterians",1909111,111715,71959,NA,35560,44057,NA,1580780,9565,53,0,6,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48416,20498,NA,26370,61328,65133,NA,12055,1778680,130431,NA,6342
